Input Image,Prompt,Negative Prompt,Number of Outputs,Number of Inference Steps,Seed (optional),ControlNet Conditioning Scale,Generated Images,flag,username,timestamp
flagged/Input Image/e7d4dd43869f29734f0c/20240929_144132.jpg,mountains and city,"3d, cgi, render, bad quality, normal quality",1,30,0,1,"[{""image"": ""flagged/Generated Images/4fb5395816a95c44eda7/image.webp"", ""caption"": null}]",,,2024-09-30 04:53:22.899525
flagged/Input Image/7fff9f1fa4b6f4a97dbb/20240927_142338.jpg,fireworks in Indian ,"3d, cgi, render, bad quality, normal quality",3,30,676755,1.3,"[{""image"": ""flagged/Generated Images/e876452119fdb151ac7a/image.webp"", ""caption"": null}, {""image"": ""flagged/Generated Images/1cdfd23b7254a2ffddfa/image.webp"", ""caption"": null}, {""image"": ""flagged/Generated Images/f9c43e17a8a5506470f6/image.webp"", ""caption"": null}]",,,2024-09-30 09:34:34.142607
